Id,items-links-href,Address,Address-city,Price,Year,SqMtr,Rooms,Code
1547411167-1218,https://www.funda.nl/koop/verkocht/delft/appartement-40589011-guldenwater-1-bouwnr-1099/?navigateSource=resultlist,Guldenwater 1 (Building No. 1099),2613 JV Delft,"327,000",2018,78,3,2613
1547412614-1537,https://www.funda.nl/koop/verkocht/delft/huis-40839254-kalfjeslaan-37/?navigateSource=resultlist,Kalfjeslaan 37,2623 AB Delft,"325,000",1977,127,5,2623
1547409141-774,https://www.funda.nl/koop/verkocht/delft/huis-40584755-oude-ijsbaan-149/?navigateSource=resultlist,Oude IJsbaan 149,2612 ND Delft,"250,000",1990,91,4,2612
1547409961-949,https://www.funda.nl/koop/verkocht/delft/appartement-40658926-parkzoom-173/?navigateSource=resultlist,Parkzoom 173,2614 TD Delft,"359,000",1996,92,3,2614
1547408863-712,https://www.funda.nl/koop/verkocht/delft/huis-40437126-koetlaan-23/?navigateSource=resultlist,Koetlaan 23,2625 KR Delft,"595,000",1970,160,6,2625
1547410615-1095,https://www.funda.nl/koop/verkocht/delft/huis-40757369-houthaak-32/?navigateSource=resultlist,Houthaak 32,2611 LE Delft,"219,000",1890,56,3,2611
1547409520-854,https://www.funda.nl/koop/verkocht/delft/appartement-40522164-willem-van-aelststraat-13/?navigateSource=resultlist,Willem van Aelststraat 13,2612 HR Delft,"198,000",1956,63,3,2612
1547408174-562,https://www.funda.nl/koop/verkocht/delft/huis-49383418-gelukkig-slot-bouwnr-30/?navigateSource=resultlist,Happy Slot (Building No. 30),2614 SR Delft,"585,000",2018,188,5,2614
1547412104-1424,https://www.funda.nl/koop/verkocht/delft/appartement-40862754-stille-putten-6/?navigateSource=resultlist,Stille Putten 6,2612 KT Delft,"117,500",1982,48,2,2612
1547411083-1199,https://www.funda.nl/koop/verkocht/delft/appartement-40595539-voorstraat-8-k/?navigateSource=resultlist,Voorstraat 8 k,2611 JP Delft,"369,000",1998,130,3,2611
1547408605-657,https://www.funda.nl/koop/verkocht/delft/huis-40552749-sijsjespad-15/?navigateSource=resultlist,Sijsjespad 15,2623 GD Delft,"330,000",1978,143,7,2623
1547409759-904,https://www.funda.nl/koop/verkocht/delft/appartement-40599462-vlamingstraat-10/?navigateSource=resultlist,Vlamingstraat 10,2611 KW Delft,"375,000",1935,87,4,2611
1547408487-631,https://www.funda.nl/koop/verkocht/delft/appartement-40493309-graaf-floriskade-62-xxx/?navigateSource=resultlist,Count Floriskade 62 xxx,2613 JV Delft,"359,500",2018,89,3,2613
1547412669-1549,https://www.funda.nl/koop/verkocht/delft/appartement-40879336-akropolishof-23/?navigateSource=resultlist,Akropolishof 23,2624 NJ Delft,"269,000",2008,104,4,2624
1547408672-672,https://www.funda.nl/koop/verkocht/delft/huis-40555966-kampveld-5/?navigateSource=resultlist,Kampveld 5,2611 DA Delft,"369,750",1999,134,4,2611
1547411277-1242,https://www.funda.nl/koop/verkocht/delft/huis-40589059-guldenwater-5-bouwnr-506/?navigateSource=resultlist,Guldenwater 5 (Building No. 506),2613 JV Delft,"725,000",2018,199,7,2613
1547413276-1677,https://www.funda.nl/koop/verkocht/delft/appartement-86361831-piet-heinstraat-70/?navigateSource=resultlist,Piet Heinstraat 70,2628 RL Delft,"275,000",1921,110,5,2628
1547410809-1138,https://www.funda.nl/koop/verkocht/delft/huis-40589909-floris-bouwnr-4/?navigateSource=resultlist,Floris (Building No. 4),2613 JV Delft,"555,000",2018,149,6,2613
1547411272-1241,https://www.funda.nl/koop/verkocht/delft/huis-40589058-guldenwater-5-bouwnr-505/?navigateSource=resultlist,Guldenwater 5 (Building No. 505),2613 JV Delft,"725,000",2018,199,7,2613
1547412576-1529,https://www.funda.nl/koop/verkocht/delft/huis-40864224-oranje-plantage-44/?navigateSource=resultlist,Oranje Plantage 44,2611 TL Delft,"735,000",1885,185,8,2611
1547412648-1545,https://www.funda.nl/koop/verkocht/delft/huis-40983377-delfgauwseweg-55/?navigateSource=resultlist,Delfgauwseweg 55,2628 EH Delft,"325,000",1901,98,5,2628
1547410210-1005,https://www.funda.nl/koop/verkocht/delft/huis-40679113-laan-van-lekkerkerk-86/?navigateSource=resultlist,Laan van Lekkerkerk 86,2614 MN Delft,"340,000",2015,122,5,2614
1547410066-973,https://www.funda.nl/koop/verkocht/delft/huis-40669171-vrouw-rijssensloot-13/?navigateSource=resultlist,Woman Rijssensloot 13,2614 MA Delft,"389,000",2015,119,5,2614
1547409057-755,https://www.funda.nl/koop/verkocht/delft/appartement-40443095-gasthuislaan-191/?navigateSource=resultlist,Gasthuislaan 191,2611 PZ Delft,"350,000",1978,116,5,2611
