web-scraper-order,items-links-href,Address,Price,Year,SqMtr,Rooms,Address-city,Code,Energy,Plot,Floors,Surface
1547461679-1783,https://www.funda.nl/koop/delft/huis-40068160-antoon-coolenlaan-13/?navigateSource=resultlist,Antoon Coolenlaan 13 2624 NV Delft,400000,1969,173,7,2624 NV Delft,2624,D,183,4,183
1547461765-1821,https://www.funda.nl/koop/delft/huis-40558590-vaandelstraat-34/?navigateSource=resultlist,Vaandelstraat 34 2611 DB Delft,895000,2004,222,6,2611 DB Delft,2611,A,99,5,99
1547461557-1731,https://www.funda.nl/koop/delft/huis-40068134-eisenhowerlaan-10/?navigateSource=resultlist,Eisenhowerlaan 10 2625 GJ Delft,309000,1971,124,5,2625 GJ Delft,2625,E,181,1,181
1547461505-1708,https://www.funda.nl/koop/delft/huis-40918149-libanonstraat-5/?navigateSource=resultlist,Libanonstraat 5 2622 HS Delft,299000,1987,95,5,2622 HS Delft,2622,C,106,3,106
1547461593-1747,https://www.funda.nl/koop/delft/huis-40079428-patrimoniumstraat-27/?navigateSource=resultlist,Patrimoniumstraat 27 2613 TM Delft,259000,1923,74,3,2613 TM Delft,2613,G,80,2,80
1547461539-1723,https://www.funda.nl/koop/delft/huis-40898195-ruys-de-beerenbrouckstraat-4/?navigateSource=resultlist,Ruys de Beerenbrouckstraat 4 2613 AT Delft,537000,1937,179,8,2613 AT Delft,2613,F,172,1,172
1547461604-1751,https://www.funda.nl/koop/delft/huis-40862256-ruys-de-beerenbrouckstraat-5/?navigateSource=resultlist,Ruys de Beerenbrouckstraat 5 2613 AS Delft,585000,1937,164,5,2613 AS Delft,2613,D,156,1,156
1547461499-1705,https://www.funda.nl/koop/delft/huis-40814941-hovenierstraat-15/?navigateSource=resultlist,Hovenierstraat 15 2613 RM Delft,275000,1906,69,3,2613 RM Delft,2613,F,76,3,76
1547461544-1725,https://www.funda.nl/koop/delft/huis-40846336-delfgauwseweg-397/?navigateSource=resultlist,Delfgauwseweg 397 2628 ET Delft,489500,1910,147,5,2628 ET Delft,2628,G,613,2,613
1547461565-1734,https://www.funda.nl/koop/delft/huis-40896863-westplantsoen-82/?navigateSource=resultlist,Westplantsoen 82 2613 GN Delft,349000,1934,114,6,2613 GN Delft,2613,D,0,3,0
1547461483-1699,https://www.funda.nl/koop/delft/huis-40992004-kuifeendhof-16/?navigateSource=resultlist,Kuifeendhof 16 2623 NS Delft,227500,1980,95,4,2623 NS Delft,2623,C,119,1,119
1547461758-1818,https://www.funda.nl/koop/delft/huis-40893746-landschapstraat-13/?navigateSource=resultlist,Landschapstraat 13 2614 WZ Delft,639000,1996,185,5,2614 WZ Delft,2614,B,250,3,250
1547461600-1749,https://www.funda.nl/koop/delft/huis-40060273-hugo-van-rijkenlaan-3/?navigateSource=resultlist,Hugo van Rijkenlaan 3 2612 JP Delft,250000,1923,69,3,2612 JP Delft,2612,E,60,2,60
1547461587-1744,https://www.funda.nl/koop/delft/huis-40983217-togostraat-10/?navigateSource=resultlist,Togostraat 10 2622 EW Delft,267500,1984,96,5,2622 EW Delft,2622,C,95,3,95
1547461648-1770,https://www.funda.nl/koop/delft/huis-40878465-vlamingstraat-34-34a/?navigateSource=resultlist,Vlamingstraat 34 34a 2611 KX Delft,865000,1990,250,9,2611 KX Delft,2611,C,200,3,200
1547461458-1688,https://www.funda.nl/koop/delft/huis-40817807-nieuwe-langendijk-68-68a/?navigateSource=resultlist,Nieuwe Langendijk 68 68a 2611 VL Delft,410000,1906,92,5,2611 VL Delft,2611,D,25,1,0
1547461511-1711,https://www.funda.nl/koop/delft/huis-40820828-gasthuissteeg-7/?navigateSource=resultlist,Gasthuissteeg 7 2611 RH Delft,369000,1910,96,4,2611 RH Delft,2611,C,45,3,45
1547461574-1738,https://www.funda.nl/koop/delft/huis-86294719-algerijestraat-2/?navigateSource=resultlist,Algerijestraat 2 2622 CC Delft,289000,1983,97,5,2622 CC Delft,2622,C,115,1,115
1547461552-1729,https://www.funda.nl/koop/delft/huis-40052212-bakemastraat-97-bwn-134/?navigateSource=resultlist,Bakemastraat 97 bwn 134 2628 ZS Delft,545750,2019,188,7,2628 ZS Delft,2628,A,73,1,73
1547461559-1732,https://www.funda.nl/koop/delft/huis-86423961-ruys-de-beerenbrouckplein-5/?navigateSource=resultlist,Ruys de Beerenbrouckplein 5 2613 AR Delft,552500,1933,199,8,2613 AR Delft,2613,G,222,1,222
1547461507-1709,https://www.funda.nl/koop/delft/huis-40886297-indiastraat-12/?navigateSource=resultlist,Indiastraat 12 2622 GH Delft,285000,1984,107,5,2622 GH Delft,2622,C,94,3,94
1547461620-1758,https://www.funda.nl/koop/delft/huis-40995604-roodborstlaan-1-3/?navigateSource=resultlist,Roodborstlaan 1 3 2623 GR Delft,675000,1987,242,8,2623 GR Delft,2623,D,297,3,297
1547461635-1764,https://www.funda.nl/koop/delft/huis-40064519-prof-oudemansstraat-79/?navigateSource=resultlist,Prof Oudemansstraat 79 2628 KC Delft,275000,1952,82,3,2628 KC Delft,2628,E,141,1,141
1547461509-1710,https://www.funda.nl/koop/delft/huis-40895095-leehoeve-6/?navigateSource=resultlist,Leehoeve 6 2614 MH Delft,375000,2010,133,5,2614 MH Delft,2614,A,107,3,107
1547461518-1714,https://www.funda.nl/koop/delft/huis-40984723-decimastraat-12/?navigateSource=resultlist,Decimastraat 12 2622 JZ Delft,345000,1988,149,5,2622 JZ Delft,2622,B,123,3,123
1547461644-1768,https://www.funda.nl/koop/delft/huis-40600605-landsteinerbocht-19/?navigateSource=resultlist,Landsteinerbocht 19 2614 GN Delft,469000,1965,149,4,2614 GN Delft,2614,C,166,2,166
