web-scraper-order,items-links-href,Address,Address-city,Code,Price,Year,SqMtr,Rooms,Energy,Plot,Floors,Surface
1547467319-2280,https://www.funda.nl/koop/verkocht/delft/huis-49383410-gelukkig-slot-bouwnr-15/?navigateSource=resultlist,Gelukkig Slot (Bouwnr. 15) 2614 SR Delft,2614 SR Delft,2614,384000,2018,131,5,A,340,1,0
1547469457-2699,https://www.funda.nl/koop/verkocht/delft/huis-40524425-klinkerbuurt-3-fase-2-bouwnr-84/?navigateSource=resultlist,Klinkerbuurt 3 fase 2 (Bouwnr. 84) 2628 ZT Delft,2628 ZT Delft,2628,363000,2018,126,4,A,315,1,0
1547469536-2715,https://www.funda.nl/koop/verkocht/delft/huis-40733172-oliemolen-7/?navigateSource=resultlist,Oliemolen 7 2614 LH Delft,2614 LH Delft,2614,430000,2006,137,5,A,111,1,111
1547467380-2292,https://www.funda.nl/koop/verkocht/delft/huis-49334872-gerbrandylaan-32/?navigateSource=resultlist,Gerbrandylaan 32 2625 LR Delft,2625 LR Delft,2625,678000,1968,212,9,D,752,1,752
1547469485-2705,https://www.funda.nl/koop/verkocht/delft/huis-40524421-klinkerbuurt-3-fase-2-bouwnr-96/?navigateSource=resultlist,Klinkerbuurt 3 fase 2 (Bouwnr. 96) 2628 ZT Delft,2628 ZT Delft,2628,363000,2018,126,4,A,315,1,0
1547467755-2365,https://www.funda.nl/koop/verkocht/delft/huis-40574760-van-saenredamstraat-22/?navigateSource=resultlist,Van Saenredamstraat 22 2613 NT Delft,2613 NT Delft,2613,259000,1935,83,4,F,10,1,103
1547467114-2239,https://www.funda.nl/koop/verkocht/delft/huis-49389522-dirklangenstraat-47/?navigateSource=resultlist,Dirklangenstraat 47 2611 HV Delft,2611 HV Delft,2611,400000,1930,162,6,E,100,1,100
1547467027-2222,https://www.funda.nl/koop/verkocht/delft/huis-40467145-delfgauwseweg-61/?navigateSource=resultlist,Delfgauwseweg 61 2628 EH Delft,2628 EH Delft,2628,250000,1901,82,4,E,5,1,82
1547468385-2487,https://www.funda.nl/koop/verkocht/delft/huis-40679113-laan-van-lekkerkerk-86/?navigateSource=resultlist,Laan van Lekkerkerk 86 2614 MN Delft,2614 MN Delft,2614,340000,2015,122,5,A,111,1,111
1547467291-2274,https://www.funda.nl/koop/verkocht/delft/huis-49383414-gelukkig-slot-bouwnr-25/?navigateSource=resultlist,Gelukkig Slot (Bouwnr. 25) 2614 SR Delft,2614 SR Delft,2614,590000,2018,188,5,A,505,1,0
1547467309-2278,https://www.funda.nl/koop/verkocht/delft/huis-49383418-gelukkig-slot-bouwnr-30/?navigateSource=resultlist,Gelukkig Slot (Bouwnr. 30) 2614 SR Delft,2614 SR Delft,2614,585000,2018,188,5,A,505,1,0
1547469006-2609,https://www.funda.nl/koop/verkocht/delft/huis-40854897-van-der-heimstraat-14/?navigateSource=resultlist,Van der Heimstraat 14 2613 EB Delft,2613 EB Delft,2613,359000,1930,97,4,D,115,1,115
1547468049-2423,https://www.funda.nl/koop/verkocht/delft/huis-40583069-rietveld-88/?navigateSource=resultlist,Rietveld 88 2611 LN Delft,2611 LN Delft,2611,619000,1906,159,5,F,12,1,98
1547468246-2461,https://www.funda.nl/koop/verkocht/delft/huis-40452437-het-slot-3/?navigateSource=resultlist,Het Slot 3 2622 KH Delft,2622 KH Delft,2622,850000,2004,195,4,A,18,1,649
1547467932-2400,https://www.funda.nl/koop/verkocht/delft/huis-49378004-marlot-de-zeel-bouwnr-11/?navigateSource=resultlist,Marlot De Zeel (Bouwnr. 11) 2614 Delft,2614 Delft,2614,338000,2018,123,5,A,332,1,0
1547466992-2215,https://www.funda.nl/koop/verkocht/delft/huis-49328337-zambezilaan-16/?navigateSource=resultlist,Zambezilaan 16 2622 DP Delft,2622 DP Delft,2622,235000,1990,87,4,C,112,1,112
1547469364-2680,https://www.funda.nl/koop/verkocht/delft/huis-40524405-klinkerbuurt-3-fase-2-bouwnr-92/?navigateSource=resultlist,Klinkerbuurt 3 fase 2 (Bouwnr. 92) 2628 ZT Delft,2628 ZT Delft,2628,463500,2018,161,5,A,402,1,0
1547469262-2660,https://www.funda.nl/koop/verkocht/delft/huis-40426489-klinkerbuurt-3-fase-1-bouwnr-69/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 69) 2628 ZR Delft,2628 ZR Delft,2628,357000,2018,126,5,A,479,1,0
1547467773-2369,https://www.funda.nl/koop/verkocht/delft/huis-40594260-doelenstraat-25/?navigateSource=resultlist,Doelenstraat 25 2611 NR Delft,2611 NR Delft,2611,209000,1870,52,3,F,31,2,31
1547467690-2353,https://www.funda.nl/koop/verkocht/delft/huis-40597227-van-miereveltlaan-27/?navigateSource=resultlist,Van Miereveltlaan 27 2612 XE Delft,2612 XE Delft,2612,340000,1950,106,5,E,5,1,168
1547467071-2230,https://www.funda.nl/koop/verkocht/delft/huis-40473578-brahmslaan-16/?navigateSource=resultlist,Brahmslaan 16 2625 BW Delft,2625 BW Delft,2625,335000,1978,141,6,C,4,1,177
1547468521-2513,https://www.funda.nl/koop/verkocht/delft/huis-40660677-henry-dunantlaan-73/?navigateSource=resultlist,Henry Dunantlaan 73 2614 GL Delft,2614 GL Delft,2614,489000,1965,151,4,C,172,1,172
1547469443-2696,https://www.funda.nl/koop/verkocht/delft/huis-40524411-klinkerbuurt-3-fase-2-bouwnr-81/?navigateSource=resultlist,Klinkerbuurt 3 fase 2 (Bouwnr. 81) 2628 ZT Delft,2628 ZT Delft,2628,387000,2018,126,4,A,315,1,0
1547469439-2695,https://www.funda.nl/koop/verkocht/delft/huis-40750375-klinkerbuurt-3-fase-2-bouwnr-89/?navigateSource=resultlist,Klinkerbuurt 3 fase 2 (Bouwnr. 89) 2628 ZT Delft,2628 ZT Delft,2628,452500,2018,161,5,A,131,1,0
1547467562-2328,https://www.funda.nl/koop/verkocht/delft/huis-40432684-floresstraat-24/?navigateSource=resultlist,Floresstraat 24 2612 GK Delft,2612 GK Delft,2612,299000,1931,91,4,F,100,1,100
1547468325-2476,https://www.funda.nl/koop/verkocht/delft/huis-40522114-hermelijnstraat-10/?navigateSource=resultlist,Hermelijnstraat 10 2623 EB Delft,2623 EB Delft,2623,265000,1977,121,5,C,129,1,129
1547469066-2620,https://www.funda.nl/koop/verkocht/delft/huis-40877137-rotterdamseweg-442/?navigateSource=resultlist,Rotterdamseweg 442 2629 HJ Delft,2629 HJ Delft,2629,225000,1904,82,4,F,2,1,0
1547468212-2455,https://www.funda.nl/koop/verkocht/delft/huis-40532382-hendrik-casimirstraat-12/?navigateSource=resultlist,Hendrik Casimirstraat 12 2628 KJ Delft,2628 KJ Delft,2628,285000,1950,100,5,E,111,1,111
1547469294-2666,https://www.funda.nl/koop/verkocht/delft/huis-40426495-klinkerbuurt-3-fase-1-bouwnr-75/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 75) 2628 ZR Delft,2628 ZR Delft,2628,363000,2018,126,5,A,481,1,0
1547467342-2285,https://www.funda.nl/koop/verkocht/delft/huis-49383425-gelukkig-slot-bouwnr-20/?navigateSource=resultlist,Gelukkig Slot (Bouwnr. 20) 2614 SR Delft,2614 SR Delft,2614,376000,2018,131,5,A,340,1,0
1547467548-2325,https://www.funda.nl/koop/verkocht/delft/huis-49336740-zambezilaan-90/?navigateSource=resultlist,Zambezilaan 90 2622 LG Delft,2622 LG Delft,2622,295000,1990,129,5,C,21,1,113
1547469025-2613,https://www.funda.nl/koop/verkocht/delft/huis-40739296-louis-couperuslaan-10/?navigateSource=resultlist,Louis Couperuslaan 10 2624 WT Delft,2624 WT Delft,2624,215000,1967,97,4,E,132,1,132
